visit,day_obs,seq_num,rotator_angle,science_program,band,alt,az,mjd
2026033100247,20260331,247,-59.88957205540758,BLOCK-T614_triplets,i,0.528086388561142,1.56858276714717,61131.120928577104
2026033100250,20260331,250,-59.88835929402387,BLOCK-T614_triplets,i,0.528111677766872,1.56856798345891,61131.12270303345
2026033100253,20260331,253,-59.88714973713313,BLOCK-T614_triplets,i,0.528101253159437,1.56857412023403,61131.124469327595
2026033100256,20260331,256,-59.886004089451355,BLOCK-T614_triplets,i,0.528101273106774,1.56857407955978,61131.126226878754
2026033100259,20260331,259,-59.884847323828254,BLOCK-T614_triplets,i,0.528085595423637,1.56858512093472,61131.127987508546
2026033100262,20260331,262,-59.8837098434421,BLOCK-T614_triplets,i,0.528085398766908,1.56858336677755,61131.1297499696
2026033100265,20260331,265,-59.8826067474384,BLOCK-T614_triplets,i,0.528099075021092,1.5685753791572,61131.13149400925
2026033100268,20260331,268,-59.88148815512599,BLOCK-T614_triplets,i,0.528093309732875,1.56857876095229,61131.133258604954
2026033100271,20260331,271,-59.88038760479508,BLOCK-T614_triplets,i,0.52809803854455,1.5685759979813,61131.1350339801
2026033100274,20260331,274,-59.87920380328583,BLOCK-T614_triplets,i,0.528100145620508,1.56857475190533,61131.13711055245
2026033100277,20260331,277,-59.878064075046794,BLOCK-T614_triplets,i,0.528100667991389,1.56857448771544,61131.13886193435
2026033100280,20260331,280,-59.877011182290936,BLOCK-T614_triplets,i,0.528091285816992,1.5685799696429,61131.1406203926
2026033100283,20260331,283,-59.87593948060087,BLOCK-T614_triplets,i,0.528093764273575,1.56857857644075,61131.142403210295
2026033100286,20260331,286,-59.874945998815306,BLOCK-T614_triplets,i,0.528094156940591,1.56857835092094,61131.1441564579
2026033100289,20260331,289,-59.87394931205237,BLOCK-T614_triplets,i,0.52809650042943,1.5685769342855,61131.1459071531
2026033100292,20260331,292,-59.87295372613826,BLOCK-T614_triplets,i,0.528116715669916,1.56856511709362,61131.1476601845
2026033100295,20260331,295,-59.87200537819292,BLOCK-T614_triplets,i,0.528123581247684,1.56856112148484,61131.1494237168
2026033100298,20260331,298,-59.87102352733075,BLOCK-T614_triplets,i,0.528083251519228,1.56858466493608,61131.151185536495
2026033100301,20260331,301,-59.87006982197801,BLOCK-T614_triplets,i,0.528112827832416,1.56856736250217,61131.152959271
2026033100304,20260331,304,-59.869145775290406,BLOCK-T614_triplets,i,0.528091432928601,1.56857991455409,61131.1547259354
2026033100307,20260331,307,-59.86822537893581,BLOCK-T614_triplets,i,0.528104132963821,1.56857250852664,61131.156481271406
2026033100320,20260331,320,60.142665335036945,BLOCK-T614_triplets,i,0.528121058417513,1.5688002687106,61131.1654312756
2026033100323,20260331,323,60.14347611174897,BLOCK-T614_triplets,i,0.528133884231775,1.56879277503953,61131.1671854667
2026033100326,20260331,326,60.144290883070646,BLOCK-T614_triplets,i,0.528126878884127,1.56879687003428,61131.1689349754
2026033100329,20260331,329,60.14505038161735,BLOCK-T614_triplets,i,0.52813588506046,1.56879158775237,61131.1706956369
2026033100332,20260331,332,60.14580850653813,BLOCK-T614_triplets,i,0.528139427467348,1.56878951642343,61131.17245568245
2026033100335,20260331,335,60.146556576173424,BLOCK-T614_triplets,i,0.528150689816748,1.56878300145233,61131.17422243935
2026033100338,20260331,338,60.147285964253754,BLOCK-T614_triplets,i,0.528168135424948,1.56877277880398,61131.1759931216
2026033100341,20260331,341,60.14800067714129,BLOCK-T614_triplets,i,0.528128534374548,1.56879596898281,61131.17772970035
2026033100344,20260331,344,60.14873884489408,BLOCK-T614_triplets,i,0.528182051924485,1.56876468267615,61131.17951821665
2026033100347,20260331,347,60.1493937115376,BLOCK-T614_triplets,i,0.528132379454563,1.5687937004236,61131.18127139785
2026033100350,20260331,350,60.15005435450595,BLOCK-T614_triplets,i,0.528123517019106,1.56879890616188,61131.183036765346
2026033100353,20260331,353,60.15069116206485,BLOCK-T614_triplets,i,0.528124009976899,1.56879860019288,61131.1847851035
2026033100356,20260331,356,60.151410359109086,BLOCK-T614_triplets,i,0.528111309387586,1.56880600753074,61131.186849989754
2026033100359,20260331,359,60.15206728124677,BLOCK-T614_triplets,i,0.528126660987178,1.56879710431589,61131.18861483545
2026033100362,20260331,362,60.152611732254535,BLOCK-T614_triplets,i,0.528143882695759,1.56878893231247,61131.19036117875
2026033100365,20260331,365,60.15319021795035,BLOCK-T614_triplets,i,0.528150569209239,1.56878317905207,61131.19212950535
2026033100368,20260331,368,60.15376552366193,BLOCK-T614_triplets,i,0.528119592565314,1.56880129476536,61131.19390082155
2026033100371,20260331,371,60.15433776262068,BLOCK-T614_triplets,i,0.528144334789215,1.56878682832594,61131.19566854395
