state_index,seqid,raft,sensor,detector_id,detector_name,focal_x_mm,focal_y_mm,focal_r_mm
933,11057,R41,S01,163,R41_S01,-127.01,211.74,246.9117
933,11057,R42,S21,178,R42_S21,-0.01,296.24,296.24
933,11057,R43,S11,184,R43_S11,126.99,253.99,283.9672
934,11094,R01,S00,0,R01_S00,-169.26,-296.26,341.2022
934,11094,R02,S00,9,R02_S00,-42.26,-296.26,299.2589
934,11094,R03,S02,20,R03_S02,169.24,-296.26,341.1923
934,11094,R10,S02,29,R10_S02,-211.76,-169.26,271.0927
934,11094,R11,S02,38,R11_S02,-84.75,-169.25,189.2832
934,11094,R12,S10,48,R12_S10,-42.25,-127.0,133.8434
934,11094,R13,S00,54,R13_S00,84.75,-169.25,189.2832
934,11094,R14,S21,70,R14_S21,254.0,-84.75,267.7659
934,11094,R20,S10,75,R20_S10,-296.26,-0.01,296.26
934,11094,R21,S01,82,R21_S01,-127.0,-42.25,133.8434
934,11094,R22,S01,91,R22_S01,0.0,-42.25,42.25
934,11094,R23,S21,106,R23_S21,127.0,42.25,133.8434
934,11094,R24,S02,110,R24_S02,296.25,-42.25,299.2476
934,11094,R30,S12,122,R30_S12,-211.75,127.0,246.9151
934,11094,R31,S22,134,R31_S22,-84.75,169.25,189.2832
934,11094,R32,S02,137,R32_S02,42.25,84.75,94.6975
934,11094,R33,S21,151,R33_S21,127.0,169.25,211.6
934,11094,R34,S01,154,R34_S01,254.0,84.75,267.7659
934,11094,R41,S10,165,R41_S10,-169.26,253.99,305.221
934,11094,R42,S20,177,R42_S20,-42.26,296.24,299.2391
934,11094,R43,S10,183,R43_S10,84.74,253.99,267.7532
935,11105,R01,S01,1,R01_S01,-127.01,-296.26,322.3376
935,11105,R02,S21,16,R02_S21,-0.01,-211.76,211.76
935,11105,R03,S22,26,R03_S22,169.24,-211.76,271.0802
935,11105,R10,S01,28,R10_S01,-254.01,-169.26,305.2377
935,11105,R11,S01,37,R11_S01,-127.0,-169.25,211.6
935,11105,R12,S02,47,R12_S02,42.25,-169.25,174.4438
935,11105,R13,S00,54,R13_S00,84.75,-169.25,189.2832
935,11105,R14,S22,71,R14_S22,296.25,-84.75,308.1341
935,11105,R20,S11,76,R20_S11,-254.01,-0.01,254.01
935,11105,R21,S22,89,R21_S22,-84.75,42.25,94.6975
935,11105,R22,S02,92,R22_S02,42.25,-42.25,59.7505
935,11105,R23,S00,99,R23_S00,84.75,-42.25,94.6975
935,11105,R24,S01,109,R24_S01,254.0,-42.25,257.4899
935,11105,R30,S21,124,R30_S21,-254.0,169.25,305.2238
935,11105,R31,S21,133,R31_S21,-127.0,169.25,211.6
935,11105,R32,S01,136,R32_S01,0.0,84.75,84.75
935,11105,R33,S11,148,R33_S11,127.0,127.0,179.6051
935,11105,R34,S02,155,R34_S02,296.25,84.75,308.1341
935,11105,R41,S12,167,R41_S12,-84.76,253.99,267.7596
935,11105,R42,S20,177,R42_S20,-42.26,296.24,299.2391
