SEQID,PERTID,BAND,RTP,RA,DEC,SEEING,MJD,AIRMASS,ALTITUDE,AZIMUTH,ZENITH,DOF
11,11,z,69.801905,286.234282,2.373017,0.860392,63349.329948,1.286389,50.783115,37.66124,39.216885,"[-0.0038493101932533,-0.0162005882920912,-0.0091057791959105,0.0149233952672753,-0.0047851952403737,0.0123955904046381,-0.0100896556794179,0.0252298183029038,0.0286699024396637,-0.024228138629174,-0.042833340845743,0.0847734668938339,-0.0017862120402651,0.0301496535696867,-0.0112614796402097,0.091652216137259,-0.0014340187132318,-0.0131231752874377,-0.0701619465063089,0.0079691520541786,0.0132197305010022,0.0493724767211373,-0.018147135704088,0.0181637820274444,-0.0396430537956486,0.0248415227167564,0.0215860278699787,0.0819494262185599,0.0045627220454914,-0.0110218334608431,0.0129396650027732,-0.0261413195580546,0.0005091594282924,0.0336118618533827,0.0073085505901368,0.0574494716614667,-0.0582430845243562,0.098264699010301,-0.0150386951282912,0.045095798302924,0.0584365383197569,0.0099861678364937,-0.0304666314481073,0.0169067536441407,-0.0621106647140105,0.0163109992420188,-0.0094351276549392,-0.1054301800036882,-0.06837991803827,-0.0454540316520582]"
12,12,u,-25.867605,28.611724,-51.229061,0.933213,63484.248976,1.113534,63.895876,148.909302,26.104124,"[0.0493285681780728,-0.0482856578989725,0.0211714371147291,-0.0831246979232238,-0.0256218033843362,-0.0078517727278392,-0.01165651302346,-0.0032856211568803,0.0154194981817526,0.0207238543588402,-0.013860124860506,-0.0016552175134223,0.0518156361709722,0.0383604414979484,0.0344509635817619,-0.0351565869064577,0.0901698861282339,-0.021605356397511,0.0067748713340609,0.0720534661536885,0.0052182303911361,-0.0716182508281431,0.0093386430590248,-0.0675155657853544,0.0173774192165792,-0.0413835106889581,-0.0386444447907051,-0.0232557030442504,0.0351871138059281,0.0724044229908727,-0.0020831943096952,-0.0368329432978281,0.0699833987385154,-0.0504680386225267,-0.0932697862894088,-0.1015398946383912,0.0172606220438512,-0.0118979679894523,0.0376380777787658,-0.0085492746879855,0.0719866311680363,0.0769180822809535,-0.0107091999061065,0.0571840007589698,0.0202777358013677,0.0163620753286032,-0.0363896648925819,0.061606873388456,-0.0240965963205727,-0.0225127559290317]"
13,13,g,32.640756,265.92144,-18.205713,1.026099,60878.173303,1.116344,63.908768,291.570359,26.091232,"[-0.0054207964826842,0.009449420551982,-0.0293998010266925,-0.0342721158603374,-0.0055135103641619,-0.0033161994389343,-0.015047654887272,0.0216140394197118,-0.0225677378215401,-0.0041431635902006,0.070528879275584,0.0093315022076249,0.040979654576306,-0.0510721154385211,-0.0761681692946052,0.0728454740390354,0.0033896097753565,0.0001330398717159,-0.0138511660770525,-0.0152327772457151,0.0666023668888441,-0.0090945374043215,0.0230769867798106,-0.0186618684818097,-0.0178391022460885,-0.1113054212722529,-0.0326000314379993,0.0036614305262076,0.0171025852034517,-0.0372830971674014,-0.004604551328657,0.0692329962609192,0.0556905920597687,-0.0548450185176297,-0.0783965563149233,-0.0396333903848724,-0.0672839772454646,0.0292812602230231,0.0201712839305901,-0.1077647157050769,0.0977453106510118,0.0262199674976151,-0.00406469670017,-0.0009457598328585,0.0070428149073067,0.0115484337197993,-0.0119588112509528,-0.0880773687548416,0.0444207083994663,-0.0823310745780747]"
14,14,y,67.000858,189.992146,-30.414525,0.708734,62962.324329,1.370203,47.261522,256.287271,42.738478,"[0.2744973834268526,0.1812499332697065,0.3211054012815972,-0.2674188282142781,0.1376983259218059,-0.0796410040651535,-0.106343156905889,0.1419113646417225,-0.2756021356333128,-0.0384479826719471,0.1144630077792909,0.2298792788816054,0.0861305242745598,-0.0042501282288011,0.1687173503474833,-0.0329807309828636,-0.0706037250891097,-0.094474051715758,0.1044466563336189,-0.0554146464494387,0.1620410698672354,0.2188424228767404,0.0044676672116053,0.0064208310910593,0.0741889816819287,0.1354493839971821,-0.1445610547574896,-0.1886987060599249,0.0754594278905402,0.2538577152878811,-0.1704306229965226,-0.1744810135981923,0.0851043767095371,-0.1104372285073701,-0.1951601648888387,0.0757770605249012,-0.3147707076090044,0.1622871910928287,0.0327042255283449,0.0008320004272222,-0.0093129139288132,-0.0247077537200108,0.0606622011697277,0.1496136357569898,0.2206417011074898,0.0160324646095801,-0.1141893239590341,-0.1189455811478951,0.0698219654267403,-0.0448460494909981]"
15,15,z,-15.034999,80.423663,-2.61874,0.382839,61728.332226,1.257655,52.862654,313.078441,37.137346,"[0.008674148804864,0.0570422517215747,0.0371140047263975,0.3358311753056472,0.0938540239352759,0.0100807864194557,-0.2662560266229886,0.0556955743648233,0.0447666538981295,-0.2677310480087945,-0.1766515008402956,0.0809510032322053,0.1286851930920672,-0.0508673424487742,-0.0040883064969522,-0.0926044039090392,0.4227474370083722,-0.1398674439555506,0.103127212015466,-0.101772653237505,-0.2379271920808052,0.2614213486739656,0.3919692045968167,-0.3159325734179058,-0.2387765773736013,-0.1314364119817085,-0.1211816730790689,0.0224587260708974,-0.0227647613848177,0.0206822135604991,-0.3204353898761072,0.1861971936646516,0.0143906126572015,0.1742805085506426,0.1092822080481985,0.239709743310783,0.0284004614286927,0.3049268596622888,-0.251420469187733,-0.0414762173278729,0.2319470093432966,0.4970797000801975,0.3065316430696996,0.0083475319466882,-0.0210678985533526,0.1258823419571882,0.0391491151243889,-0.0635225094759568,-0.0221610051141492,-0.0933530097799193]"
16,16,r,-4.257093,141.031928,-0.118699,0.771757,61761.323401,1.160117,59.617548,10.0666,30.382452,"[0.0018660209587638,-0.0027815905732949,-0.0360124591017186,-0.0611550412203122,0.0827708395238022,0.0411977594476353,-0.0764464350119036,-0.0500217114506914,0.1556951417414874,0.0469557468168567,-0.0518278259168619,0.1644042295881431,0.7432188701080404,-0.0352277735286346,-0.096655800214559,0.0619671171105822,0.0602560976045438,-0.0095425271675956,0.0819875916029501,-0.1232994056950543,0.0323896186740816,-0.0613434609032463,-0.038930762160605,-0.0156751051426976,-0.1062528202196217,-0.0535457563929437,-0.0182590007170189,-0.0659436068558166,0.0818923975575602,-0.0868221655479407,0.1685479083349726,-0.0948301574346417,-0.1286430290745132,-0.0705108497898343,-0.7398706588793105,0.0823963761420188,-0.2561304678855869,0.1307104073576202,0.086075487435519,0.0994079239556237,-0.1088340815590294,-0.0375732885040955,-0.0014111532055114,0.0345974193429126,0.1400996697530437,-0.0311831457799853,-0.1211876528671854,-0.3689417306851268,0.1177868583061523,0.1032299583935135]"
17,17,y,-26.175004,248.073824,13.4271,0.961598,61191.203322,1.384825,46.315815,356.098311,43.684185,"[0.0411392121458944,-0.0271945619285703,-0.0075925760646503,-0.0269220901386276,-0.0254718805318082,0.012904624367072,-0.0251768656430093,0.0102320553698639,0.0002083531758254,-0.0149965070654677,-0.0364177283820496,0.0249903778756072,0.0307043051034937,-0.0027515498614899,0.0843098020998239,-0.0244591312442435,0.1037867342933968,-0.0307568321895919,-0.0148634600763913,0.0521873094195814,0.0167936929542418,-0.0062381742269476,0.0551203973214675,0.0187494030617025,0.0256583210828335,0.0471167200041215,0.0070963912666352,-0.0069483943127606,-0.0082075471463389,0.1216029260912651,0.0125472039259885,-0.0160867441837166,0.0633729835067332,0.0118734637812262,-0.1120387046170444,-0.031666908494222,0.0191688803919294,0.0033805791655904,-0.0297441554690248,0.0731665064457652,0.0419479780105143,-0.010737817005986,0.0252414986391157,0.0163828766803121,0.0049644748409588,0.0378788529819384,0.0579070875039471,-0.015751590763824,0.0136906151123661,-0.0492115127695732]"
18,18,z,-46.728005,10.230258,-17.222214,1.128334,62416.114302,1.106157,64.324764,64.59056,25.675236,"[0.0253146814105512,-0.0193610419682716,0.0357912315345168,-0.0274634665840705,0.0091439966679427,-0.0266628222943438,-0.010783728338804,-0.0104322636996833,-0.0151576698228484,0.0130915605956244,-0.0567725308777189,0.0228698111044688,0.069203383742462,0.0034680090187609,0.0898590364242891,-0.0552633494876306,-0.1194429260518381,-0.0283850774999782,0.0172560366981048,0.0069463571958708,-0.0312387031310095,0.0100126386030978,-0.0080465799992564,-0.0191880424817226,-0.0689522389388923,0.024185949448053,0.0368366839046595,0.0321897174365804,-0.0032031939312499,-0.0200905419274153,-0.0096103077264102,-0.0134760459292198,-0.0455099706896368,-0.001678288247757,-0.077514321356838,0.1584028579723688,-0.04274281464996,0.0309246810454765,0.0115471452437769,0.030646648996161,0.029184838564165,-0.0089121944128,-0.0219001785823752,-0.0025137653346492,0.0274083940907822,0.0179901681034075,-0.0386654411612235,0.0414719010566444,-0.0628632845326676,-0.0637759878518715]"
19,19,z,-62.013269,122.163438,-1.457268,0.627126,63669.999198,1.223315,54.703574,39.756639,35.296426,"[-0.0059801154329345,-0.0125918131381004,-0.0362433805819686,-0.0150373599172012,-0.0750555963720659,-0.0180037435806864,-0.0160721700706147,-0.0596192991571144,0.00935496262381,0.0477284948530215,0.0483314856372728,-0.0142564527474215,0.0958686533915011,-0.007651062193088,0.0244696478790865,-0.0133413661720559,0.0083457026719817,-0.0033594698551803,-0.0174897675885112,0.0283296602524549,-0.026524853404834,-0.0462230722847742,-0.0494541387551774,0.0299320680512503,0.0269879331762829,0.0619090080061436,0.0117757096457486,-0.0053689409762219,0.0013885904704674,0.0384712496188899,-0.0815619999749711,0.023260212417138,0.0237053718423304,-0.0306119553685413,-0.1407535994903831,0.0380951268226034,0.0039225253716233,-0.0118985578577522,-0.0247003165889743,0.0423291367845677,0.0669722705781439,-0.0475777898602508,-0.0608672684894388,-0.0028983406456121,0.0309127377759841,0.0240832432329297,0.0250227224110854,0.033613567920351,-0.0553378820696033,-0.0461900432834683]"
20,20,i,-50.221553,217.460146,-21.295072,0.40447,63640.338549,1.086763,66.649857,73.565564,23.350143,"[0.0188392135619617,-0.0045242917017122,0.0014175708990335,-0.007865775889484,0.0444026451088312,-0.0250369974536745,0.0325742769654587,0.0153525790809863,-0.0302478525206846,0.0434502190639024,0.0048524192243001,-0.0864302135902159,0.2236971330187727,0.0001921427513607,0.0224583154698296,0.0431141132052175,0.0194977842559365,-0.0525859172110928,0.0142084141677673,0.0363149474397452,-0.0198663790155871,0.0027774750600836,0.018395616407434,0.0076728148580397,-0.0827312530924127,0.0605143110887532,0.0429002134487688,-0.0603281954564066,-0.0108010956879423,-0.0866344503610881,-0.0209643472746534,0.0070108328224465,0.0066771448896966,-0.0410670565417143,-0.2254573733313995,0.0483096968189903,-0.089234886312587,0.0384077447864557,0.0371161769272937,0.0532067276586954,0.0444101437796106,0.0244570954094136,0.0365254298714416,-0.0431709085715134,0.0439992656088467,0.0082856375363766,0.0162983543742936,-0.1504095085158704,-0.061583054874518,-0.06700454185899]"
21,21,y,-15.308678,35.132231,-4.502816,0.803659,62378.37159,1.117508,63.439566,345.717073,26.560434,"[-0.0720839414143641,0.2363329257061141,-0.0756461080658084,0.4479211813013071,-0.4241250364228165,-0.0622898273135447,0.1750049123924156,0.1400868697929641,-0.0645636114149206,-0.2399723482657828,-0.2201157783705937,0.0548154356588076,-0.0056937430157645,-0.0783675576908526,-0.037809185937899,-0.0218422213790755,-0.2614346020580955,0.0471285520195876,0.0458523285064299,-0.0166330739402957,-0.2828838362319983,-0.5198149684725771,-0.2142693563435671,0.1181731157904885,-0.1661714450870244,-0.020764893762593,-0.0226705340844851,-0.0609938068932483,-0.0271930730506088,-0.1213654461632234,0.2325729809391822,0.0589581132740146,-0.150629196942103,-0.0656321527630656,0.0363149369567898,-0.1556795009265134,-0.1038835596571732,0.0876898781761151,-0.0464928890752245,-0.2165465148505902,0.1919755916001021,-0.1685590771329934,-0.2821859469464466,-0.0528900454096236,0.0755206729321573,-0.0021766484288385,0.0420835052085552,0.0823024960739903,0.0013703965622565,-0.0544863028972568]"
