ordinal,day_obs,build_used,branch,visits,pairs,first_mjd,last_mjd,mean_mjd,resid_rms_z5,corr_z5,resid_rms_z6,corr_z6,resid_rms_z7,corr_z7,resid_rms_z8,corr_z8,resid_rms_combined,corr_combined,cwfs_resid_rms_combined,cwfs_corr_combined,block_index,display_x,panel
126,20260315,True,danish,12,33934,61115.235053558645,61115.25441342145,61115.24472043041,0.059321621906238645,0.846675922736406,0.05816337027495584,0.8634028148603533,0.0573874367226495,0.8801230923237927,0.06756428471318697,0.7986958603109663,0.06074595239546632,0.8472244225578797,0.057694756297270645,0.9189255705422108,41,3.5520767630659975,1.0
127,20260316,True,danish,12,33496,61116.33744479445,61116.35684692905,61116.34714206338,0.0469245775063514,0.9080049499092544,0.04625972116553946,0.9097230623130523,0.029525696378981746,0.9681001067710124,0.027226002155109383,0.9725889603571463,0.038583998355784986,0.9396042698376164,0.046326093284854666,0.9151657371270102,42,5.6306457922037225,1.0
128,20260316,True,danish,12,33762,61116.3654378386,61116.3848011515,61116.37511483671,0.04556033256024636,0.9196705792915677,0.03423860656562572,0.9547516793066105,0.02055067639600927,0.9855311114714502,0.02406083866735174,0.9795262032800242,0.03259325214007408,0.9598698933374131,0.041398250260530525,0.946319043403987,43,6.3019923520914745,1.0
129,20260316,True,danish,11,30941,61116.3936422444,61116.41134456195,61116.402497975316,0.03591569176887562,0.9681971827206118,0.04996101851981705,0.9590521461109071,0.03482731531219788,0.9766854699838052,0.036019784479570854,0.9748607386473389,0.039674951331363874,0.9696988843656658,0.04201945452698166,0.9553050863308687,44,6.959187678672606,1.0
130,20260317,True,danish,12,33886,61117.06976520315,61117.08953039395,61117.079654309426,0.05920915847540316,0.9001740989859932,0.061271316788364234,0.9427189718505181,0.04636012958755779,0.934182992268958,0.05586097544446719,0.9136614751488846,0.05596786779333301,0.9226843845635885,0.06168818352638979,0.8867263268482843,45,9.022047098493204,1.0
131,20260317,True,danish,12,33281,61117.10984590135,61117.1292315904,61117.11953747246,0.06868973191435798,0.9333165749805565,0.08801656804606323,0.9357211804857941,0.04429288995561106,0.9592679657373603,0.059282248670623205,0.9649534191675594,0.0669728314862436,0.9483147850928175,0.07519688489256986,0.9236849949267825,46,9.979243011388462,1.0
132,20260317,True,danish,12,34234,61117.138910638096,61117.1582558438,61117.14858911347,0.06439585632035658,0.9487804726864305,0.07015668845179164,0.9619558246681692,0.047324223971395754,0.9581167185263174,0.06481810837701783,0.9697601596182431,0.06226908661973335,0.95965329387479,0.06439032719653803,0.944131228575149,47,10.676482395618223,1.0
133,20260317,True,danish,12,34373,61117.1665936331,61117.1859326777,61117.17626925651,0.046073237107800286,0.9774128107499817,0.06858283472386911,0.9688742545246782,0.03684749775031257,0.9704923438404387,0.04473839846690708,0.9749355118432042,0.05046189350439641,0.9729287302395756,0.06008776425666903,0.970603740475096,48,11.340805828513112,1.0
134,20260317,True,danish,12,34550,61117.19455196825,61117.21398815015,61117.20428548588,0.039150538709318686,0.9721799937623985,0.043962227289799684,0.9502180042844484,0.02634773711857998,0.9788716249473919,0.030999412936456305,0.9664537106578418,0.03577921520654345,0.9669308334130201,0.04693339072816201,0.956698483572907,49,12.013195333420299,1.0
135,20260317,True,danish,12,35763,61117.22462893105,61117.24394545905,61117.23428886031,0.03891663359335126,0.9545059527982644,0.036767301819157244,0.9611053053940684,0.03077892529242235,0.969358266486131,0.03359431808933818,0.956462794735984,0.03515060206932561,0.9603580798536119,0.04309216955089791,0.95279346815147,50,12.733276319690049,1.0
