ordinal,day_obs,build_used,branch,visits,pairs,first_mjd,last_mjd,mean_mjd,resid_rms_z5,corr_z5,resid_rms_z6,corr_z6,resid_rms_z7,corr_z7,resid_rms_z8,corr_z8,resid_rms_combined,corr_combined,cwfs_resid_rms_combined,cwfs_corr_combined,block_index
144,20260325,False,danish,12,35873,61125.361203092456,61125.38069359815,61125.370963889734,0.07093801225364321,0.7835179171434888,0.06489464098630494,0.8198575008800668,0.06641412393087887,0.8399095247270738,0.07740192146645927,0.726198847369242,0.07008104115137972,0.7923709475299678,0.07512521452225399,0.8456063980488311,59
144,20260325,False,tarts,12,35873,61125.361203092456,61125.38069359815,61125.370963889734,0.06978131341878721,0.8028515434049329,0.07571738210469771,0.6971965959845954,0.05897588612113405,0.4336531434873664,0.044555972894127764,0.6360745310551171,0.06337575151340422,0.642443953483003,0.08756561438979599,0.6418949085005768,59
145,20260326,False,danish,6,13606,61126.21981447445,61126.22868888509,61126.224244713645,0.09068603450092445,0.6769289168817704,0.08537266255070652,0.694925487458257,0.08687942431407614,0.7102139635505148,0.10472400293231433,0.47398235110271103,0.09223285684046159,0.6390126797483133,0.08970875252654298,0.8002092774799392,60
145,20260326,False,tarts,6,13606,61126.21981447445,61126.22868888509,61126.224244713645,0.06484771365018527,0.7156131416014637,0.07607867508743806,0.6911601838836476,0.05752946340160233,0.40091012952260896,0.057951309713921054,0.5133372401779175,0.06453910486199722,0.5802551737964095,0.08501373633504274,0.5856416861194387,60
146,20260327,False,danish,15,45510,61127.0797086408,61127.10347761035,61127.09160806496,0.054065550408387765,0.96933840833613,0.06505608460351456,0.9599775493927605,0.02660947819983715,0.9780784152530625,0.03327580819280519,0.9591538240272053,0.04735694676035801,0.9666370492522895,0.05676071790730792,0.9538819803364255,61
146,20260327,False,tarts,15,45510,61127.0797086408,61127.10347761035,61127.09160806496,0.05716539647890582,0.7879856955930764,0.06890292115063304,0.8402112358916156,0.05010582551339287,0.5024159094083007,0.03713805847024876,0.8120245871387856,0.05455576100422172,0.7356593570079446,0.06769288547804894,0.749547430070451,61
147,20260327,False,danish,12,36392,61127.10788711055,61127.1272714589,61127.11759790617,0.052441462357198446,0.9024784433080305,0.0549631080210407,0.9131210692253983,0.05392039541091382,0.8856640057037394,0.04984830315098509,0.903527503405672,0.052828289262940975,0.90119775541071,0.06774315257514271,0.8665216784442749,62
147,20260327,False,tarts,12,36392,61127.10788711055,61127.1272714589,61127.11759790617,0.07022381707118043,0.7583526955239974,0.07372188738329344,0.8026320807008147,0.04458193334807725,0.4815137771690496,0.04924605124116092,0.6535394283144045,0.060784503591172524,0.6740094954270666,0.0810651035801627,0.6614302978942338,62
148,20260327,False,danish,12,36173,61127.13032385315,61127.14979143115,61127.14007935132,0.06102322222722118,0.8464490742962713,0.06339287782774744,0.8515610865768044,0.06427373848760375,0.8362703382336756,0.059736393764984,0.8568482926636107,0.06213300413124781,0.8477821979425906,0.08051589508514786,0.80301859981539,63
148,20260327,False,tarts,12,36173,61127.13032385315,61127.14979143115,61127.14007935132,0.06964904444355002,0.7384210161163233,0.0724624879927774,0.7924525188851469,0.04177952214854447,0.6239351014869544,0.0447683913667594,0.653196007027031,0.05884628045707535,0.7020011608788639,0.08424358835620284,0.7118999178358274,63
149,20260327,False,danish,9,24034,61127.1584934185,61127.1799806571,61127.1720485363,0.05057620317642234,0.9065972649908298,0.05088617353484021,0.9135029208757047,0.03813463983316331,0.9458036284225689,0.0528018517077704,0.8945265538502616,0.0484500807113236,0.9151075920348413,0.058904464201470545,0.9182781792431968,64
149,20260327,False,tarts,9,24034,61127.1584934185,61127.1799806571,61127.1720485363,0.06081707842390447,0.7770137336045432,0.0738757590561493,0.6659266652931974,0.047631757295205364,0.6925947511985483,0.03877172218645311,0.7649345495089632,0.0568515073425376,0.725117424901313,0.07520338688417408,0.7519990656872411,64
150,20260327,False,danish,12,32407,61127.181775793695,61127.201654616045,61127.191757240136,0.04409035102979416,0.9302737981159149,0.04347858441121228,0.9405267269937455,0.031612081167681896,0.9624805573138265,0.047969899196582885,0.9146432229214534,0.04223381719965594,0.9369810763362352,0.05156368725348908,0.9456459726036096,65
150,20260327,False,tarts,12,32407,61127.181775793695,61127.201654616045,61127.191757240136,0.06415634622733778,0.7905556499745657,0.07418905084142717,0.6974236754486955,0.047088697872681835,0.7507374799970893,0.040456206343129915,0.743395537857478,0.05803900008833827,0.7455280858194572,0.07556757845035261,0.7905998632917421,65
151,20260327,False,danish,12,26555,61127.21771032525,61127.23725851265,61127.22747488286,0.06126232667867664,0.8439401758793567,0.060712382789866785,0.8773547036113558,0.06264685882046735,0.8552824287197295,0.06721605038672365,0.8016358109022551,0.06301129351903981,0.8445532797781743,0.08111848044349934,0.8117582447737167,66
151,20260327,False,tarts,12,26555,61127.21771032525,61127.23725851265,61127.22747488286,0.05002944355390918,0.7521901476800531,0.07378212167127396,0.6395406894460017,0.050792064315458275,0.376850287021656,0.043729581683172994,0.5843167834675185,0.05576481151281561,0.5882244769038074,0.07687810238089036,0.6332860318312845,66
152,20260327,False,danish,12,27217,61127.239366728696,61127.25894688355,61127.249134452686,0.06387166648031321,0.8242162123641887,0.0639740463299503,0.8513083306696033,0.07361431971401416,0.8018220568659392,0.06914950134852824,0.7853240302974506,0.06777350143401585,0.8156676575492954,0.0779932948559999,0.8191231920516276,67
152,20260327,False,tarts,12,27217,61127.239366728696,61127.25894688355,61127.249134452686,0.050889134346340334,0.7430435057503122,0.06706627976699261,0.6732337136425154,0.05406755897961433,0.32940706254561264,0.038883186095948034,0.6155998151489748,0.05367213655913699,0.5903210242718537,0.0713711112594259,0.6314059267535078,67
153,20260327,False,danish,12,29132,61127.261268172544,61127.2808328685,61127.27105509386,0.05974894438140699,0.8459435151816674,0.06019063531178973,0.8656902216228091,0.05636931145857993,0.8795562823972384,0.06475923909355821,0.826045936723888,0.06034092155457266,0.8543089889814007,0.07383856110432714,0.8304708827094022,68
153,20260327,False,tarts,12,29132,61127.261268172544,61127.2808328685,61127.27105509386,0.044427798908598444,0.8103573795599395,0.07364051656971576,0.6353314941216256,0.047951696820951184,0.44826076193711545,0.03710724885076085,0.6727515323643866,0.052614323481819464,0.6416752919957668,0.07472066222394333,0.6509457854732167,68
154,20260327,False,danish,12,32485,61127.2829279284,61127.3025038198,61127.29271040331,0.05563546670518771,0.8668298354303856,0.05704354915930271,0.8770977080302137,0.0565105401226052,0.8808906149703887,0.06545061402304654,0.8201645330995585,0.05879306012859048,0.8612456728826366,0.07380801702511965,0.8539301318342853,69
154,20260327,False,tarts,12,32485,61127.2829279284,61127.3025038198,61127.29271040331,0.05000878989958877,0.814968019968438,0.07637958783219026,0.6637240065648407,0.04500361619242828,0.5585966549902693,0.03524461957775465,0.7293209610754718,0.05385682218673071,0.691652410649755,0.07991561158635607,0.6991287968838669,69
155,20260327,False,danish,12,35212,61127.305467654005,61127.32508793676,61127.31528018456,0.046958144170835776,0.9086486433339241,0.05227176695723803,0.9133169436033496,0.05663100804276272,0.8814358129208476,0.06122564290710673,0.8397253112622685,0.054527642866093164,0.8857816777800974,0.060951485328204366,0.9030093016864893,70
155,20260327,False,tarts,12,35212,61127.305467654005,61127.32508793676,61127.31528018456,0.051525444063231375,0.8316690865613483,0.06846431340332285,0.7761795586653217,0.03949466581899754,0.6824001715887221,0.033727389802495594,0.7766201484288867,0.05009889980514885,0.7667172413110698,0.06639932634485048,0.8136209925767781,70
156,20260327,False,danish,12,36273,61127.32719897895,61127.3468177154,61127.33702538185,0.047717262581312064,0.9098675330179756,0.04769106137839199,0.9319515670136,0.0439998615058525,0.9271113812899298,0.05493766136429591,0.8793159023578611,0.048748099789539714,0.9120615959198416,0.05998963565911042,0.9117181428395786,71
156,20260327,False,tarts,12,36273,61127.32719897895,61127.3468177154,61127.33702538185,0.052769877031144344,0.8525387088116104,0.06720378840001534,0.7856395635069789,0.036343093321565365,0.7271754244169395,0.03481060306889104,0.7762073087459458,0.04958227408912389,0.7853902513703686,0.06739904750746754,0.822527611876967,71
157,20260331,False,danish,12,37057,61131.1156590288,61131.1350339801,61131.125340510276,0.0692828464536486,0.8293641023704148,0.07249598606128757,0.7825320109023519,0.06836253685598619,0.8140677774027332,0.07386915345086127,0.7608878646621029,0.07103849147583866,0.7967129388344008,0.07737251996260247,0.8361265631296279,72
157,20260331,False,tarts,12,37057,61131.1156590288,61131.1350339801,61131.125340510276,0.07591368439139635,0.7425612122533501,0.07265769557585935,0.45179620422945965,0.04781993381876986,0.6258079998738868,0.04483111270612326,0.6068190601027242,0.06192455680336244,0.6067461191148552,0.07973493621900773,0.7474314740178032,72
158,20260331,False,danish,12,37096,61131.13711055245,61131.156481271406,61131.146791301355,0.07708374425646475,0.7828010706852571,0.0804237871621571,0.7133468887204947,0.08686253300759121,0.7294135446612874,0.0831878615257311,0.6986658915332312,0.08196830045178913,0.7310568489000676,0.08654626562029834,0.8046682291365093,73
158,20260331,False,tarts,12,37096,61131.13711055245,61131.156481271406,61131.146791301355,0.06794538600886632,0.7440127077537154,0.08353962563495658,0.32459532610190434,0.03951304099166423,0.7633146145444164,0.04994772756269115,0.5100486873434781,0.06255297840272735,0.5854928339358786,0.08184488679437285,0.7124582180290888,73
159,20260331,False,danish,12,36955,61131.1654312756,61131.1847851035,61131.17510498181,0.09764526963012173,0.6030429424908685,0.11396810239210077,0.37161104600310424,0.10725646765617065,0.6170245934194348,0.10719719134939946,0.43631927886592087,0.10667534243122269,0.5069994651948321,0.1033050068758123,0.7521012084181632,74
159,20260331,False,tarts,12,36955,61131.1654312756,61131.1847851035,61131.17510498181,0.09060954290334146,0.5147100636212185,0.07048722625466126,0.5058724595880404,0.053046692932325994,0.6062852097921275,0.056175459240209155,-0.04347631056343643,0.06918846034949248,0.39584785560948754,0.08884595714263771,0.47889769766301715,74
160,20260331,False,danish,12,36326,61131.18684998976,61131.2062211586,61131.196539176366,0.093351778239038,0.6040819923331963,0.1139014184880789,0.36701875899657205,0.1054545817771651,0.6205307724891463,0.11038423365562983,0.4189273265289754,0.10605828054839059,0.5026397125869725,0.10111849855149507,0.7080926838443196,75
160,20260331,False,tarts,12,36326,61131.18684998976,61131.2062211586,61131.196539176366,0.08220363041964224,0.5630956563712403,0.0676780333623708,0.5627923535073049,0.05221761522255473,0.6001324812306859,0.05748703205546174,0.0019588387093582896,0.06589611378534355,0.43199483245464737,0.08521748968995708,0.5298225237506026,75
161,20260331,False,danish,12,33528,61131.21427054495,61131.2337113337,61131.22400675283,0.09737448043916914,0.628528783425402,0.11220522487335663,0.4164136629318309,0.10983762999643269,0.6233299327943512,0.1278075351414748,0.4428437724849286,0.11232861715948793,0.5277790379091282,0.10206254762369492,0.7660784644372304,76
161,20260331,False,tarts,12,33528,61131.21427054495,61131.2337113337,61131.22400675283,0.07581499991386802,0.5830751694190022,0.07642515889536297,0.46323009957811817,0.06224776653986633,0.6525252026336744,0.04430288083971417,0.6129267836368256,0.06600425898004783,0.5779393138169051,0.07762683293851477,0.6732532397437235,76
162,20260331,False,danish,7,17203,61131.23665489296,61131.2472583511,61131.24195700205,0.09838527911773735,0.5952433472944526,0.11964126558557754,0.3764058811227948,0.11197358493047885,0.5942946350482513,0.11921416139167856,0.41252688459507786,0.11263191774148451,0.49461768701514414,0.11364373195892566,0.736649249619604,77
162,20260331,False,tarts,7,17203,61131.23665489296,61131.2472583511,61131.24195700205,0.0828112831532341,0.5187428381066598,0.06603280668566805,0.5835608675317357,0.06232551438406814,0.6546958738592206,0.04978673704590013,0.49614687832013754,0.06629711363473566,0.5632866144544384,0.07679467310324341,0.7003856790187136,77
163,20260331,False,danish,12,37715,61131.258964025605,61131.281179495694,61131.270051362684,0.11563578646636474,0.5218727636078457,0.14447802635486034,0.08141881973821405,0.11834715213921963,0.5512385690233027,0.1224571139760425,0.4085627869024364,0.12574510765224178,0.39077323481794973,0.11496225881162296,0.6924106990454774,78
163,20260331,False,tarts,12,37715,61131.258964025605,61131.281179495694,61131.270051362684,0.07473233149202409,0.6531385408950264,0.08356008208939085,0.4040744216118095,0.06490501503154471,0.6757690619959111,0.06433211880042279,0.39514460774627114,0.07231613093670089,0.5320316580622545,0.0827139736592426,0.6895624111588364,78
164,20260331,False,danish,12,35735,61131.323873309055,61131.3435400467,61131.33371237972,0.1214493158479063,0.37127688158773003,0.13647261785570722,0.14307365632593863,0.11387035847106428,0.5733923780480964,0.12760149456712241,0.2572798953862615,0.1251232509352343,0.3362557028370067,0.11156205276284141,0.6830689038569376,79
164,20260331,False,tarts,12,35735,61131.323873309055,61131.3435400467,61131.33371237972,0.07326770082658432,0.5174060420357187,0.06765640796933828,0.6017894098177309,0.05454827503501554,0.45237660556377074,0.04405604058120042,0.3290687252274982,0.060954890174446795,0.4751601956611797,0.07100704439112604,0.55038054288345,79
165,20260401,False,danish,12,34200,61132.10073169455,61132.120107543495,61132.110425107414,0.04923785272473268,0.9144187459677632,0.05222520029775109,0.9294713316456953,0.03850088752599638,0.9433224049746477,0.05284256421325644,0.8828210027134612,0.04854506313726516,0.9175083713253919,0.056903242839242134,0.9060133302768312,80
165,20260401,False,tarts,12,34200,61132.10073169455,61132.120107543495,61132.110425107414,0.06250081397398573,0.7421460015288235,0.0731668633445708,0.4172611125552255,0.03915396797573766,0.8038984726536221,0.04476976231707023,0.682801330922909,0.056562148264687404,0.661526729415145,0.07115513263142269,0.6953275102104228,80
166,20260401,False,danish,12,33951,61132.1221958704,61132.14158029745,61132.13190982944,0.05376082060370316,0.9162513345533873,0.054229188351349884,0.9075151368357233,0.04291230211792265,0.9290624180212131,0.05347893351184461,0.8799040588411722,0.051313966675394285,0.908183237062874,0.05566028653164958,0.9058406874289913,81
166,20260401,False,tarts,12,33951,61132.1221958704,61132.14158029745,61132.13190982944,0.07306805515554451,0.6473276994591104,0.08140194641148578,0.3468192247284126,0.04043513888241062,0.7766585307729096,0.04699303054581383,0.5952041261231062,0.06286605391646538,0.5915023952708847,0.07885998549229341,0.6842357220270062,81
167,20260401,False,danish,12,36418,61132.151803763554,61132.17121958345,61132.161528748366,0.05028451489473032,0.9230697454990688,0.038777517815284115,0.9438402172434417,0.051556509163583474,0.8956748962185832,0.05702588965754531,0.8707156268623972,0.0498554261201382,0.9083251214558727,0.0477965811304918,0.9347558092625026,82
167,20260401,False,tarts,12,36418,61132.151803763554,61132.17121958345,61132.161528748366,0.07370632805190255,0.7147683016200953,0.0709450561611729,0.48582699034965043,0.042843450721096535,0.7134230328053033,0.045598019298245106,0.4122361464441959,0.059959495541200176,0.5815636178048113,0.07384835563533791,0.6830770534356922,82
168,20260401,False,danish,12,37511,61132.1733013318,61132.19258272045,61132.18294234311,0.05108877566437775,0.9104100487167275,0.04341894350912534,0.9248681899835025,0.04904943703182074,0.9068058606965553,0.06425572175106362,0.8329762988983785,0.05251169561445905,0.8937650995737909,0.04822238103030454,0.9329426132822579,83
168,20260401,False,tarts,12,37511,61132.1733013318,61132.19258272045,61132.18294234311,0.08702263662088278,0.6869467514269477,0.05764085508129367,0.6640986949592645,0.04512670014401131,0.7092473073794531,0.04349830855911223,0.5187494202495834,0.06087677999932353,0.6447605435038122,0.07225110429265497,0.7200039403892097,83
169,20260401,False,danish,12,37056,61132.2096861365,61132.22918914886,61132.21944084761,0.05747097049964632,0.8738838592620055,0.05574206423779524,0.8674436356911526,0.0627830992995796,0.8416014223135984,0.06882019036112337,0.8099418092049356,0.06141666372952832,0.8482176816179231,0.056387410397848406,0.9055033290780149,84
169,20260401,False,tarts,12,37056,61132.2096861365,61132.22918914886,61132.21944084761,0.08579867047962791,0.7196545539250222,0.056607181482566944,0.6709565237849614,0.03350126985994559,0.8140286166769848,0.033369045936875,0.6733934541311106,0.05657210699726106,0.7195082871295198,0.0726042598361171,0.8216390758427483,84
170,20260401,False,danish,12,37432,61132.23127909715,61132.25071498345,61132.240997314955,0.053111563467094856,0.8829088969929608,0.04854126341035202,0.9019680589435167,0.05455388950333855,0.8845880229684497,0.07055064476125836,0.7877584734112933,0.057294442932024764,0.8643058630790552,0.0530833202771737,0.8989031399647252,85
170,20260401,False,tarts,12,37432,61132.23127909715,61132.25071498345,61132.240997314955,0.08631887731660132,0.7401676119542343,0.0633443122112354,0.6328277980333044,0.04883595682021892,0.6438479553244093,0.03685504964004035,0.6201569160519129,0.06165771612951023,0.6592500703409652,0.0745135767678523,0.7929959299611355,85
171,20260401,False,danish,12,37044,61132.2636504008,61132.283194561096,61132.273422836384,0.05815046100924092,0.8604201056287719,0.052854684677271384,0.8904627313865161,0.06215063611139741,0.8446328362625545,0.0698327128354078,0.7986802983483463,0.06106226977218605,0.8485489929065473,0.0701795186723307,0.8628709194234512,86
171,20260401,False,tarts,12,37044,61132.2636504008,61132.283194561096,61132.273422836384,0.07505439198972418,0.5184105871352648,0.054248450710499406,0.7308313587260963,0.03910621231933421,0.6997875238135508,0.033731086043843075,0.7540030257883512,0.05301683263148283,0.6757581238658157,0.07562695575461799,0.6777656841666612,86
172,20260401,False,danish,12,36124,61132.285292966655,61132.30484257885,61132.295080159856,0.06291385202714807,0.8372162098944163,0.0586625584560619,0.8710555498326836,0.064581593732389,0.845788294108994,0.07410480466179363,0.7496494917643555,0.06531032243160859,0.8259273864001122,0.07289017667642265,0.860638980226949,87
172,20260401,False,tarts,12,36124,61132.285292966655,61132.30484257885,61132.295080159856,0.07902256765585526,0.49810502438565984,0.06084324215736525,0.7037910347749903,0.04199495449361471,0.6957296718363742,0.031432653215930806,0.7619650441512108,0.0563428216507164,0.6648976937870588,0.0758305332899962,0.6978067296710149,87
